pl_hostname,pl_letter,st_dist,st_glat,st_glon,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_rade
KOI-961,d,,12.548085,76.918760,0.015400,,,,0.570
ksi Aql,b,62.66,-9.854721,47.812817,0.680000,,,889.88651,
LKCA 15,b,,-15.981634,176.689700,,,,1906.90000,
Lupus-TR-3,b,,10.951003,331.367213,0.046400,0.000700,-0.000700,257.43145,9.976
MOA-2007-BLG-192-L,b,,-3.387593,4.030846,,,,3.17817,
MOA-2007-BLG-400-L,b,,-4.700741,2.381269,,,,286.03495,
MOA-2008-BLG-310-L,b,,-4.562487,355.914434,,,,73.09782,
MOA-2009-BLG-266-L,b,,-3.580897,355.069932,,,,10.39260,
MOA-2009-BLG-319-L,b,,-3.014318,4.202203,,,,49.89720,
MOA-2009-BLG-387-L,b,,-4.096243,356.556406,,,,826.32300,
NGC 2423 3,b,,3.531344,230.520593,2.100000,,,3368.85608,
NGC 4349 No 127,b,,0.831085,299.718038,2.380000,,,6292.76890,
NN Ser (ab),c,,45.338912,23.652960,5.380000,0.200000,-0.200000,2196.11000,
NN Ser (ab),d,,45.338912,23.652960,3.390000,0.100000,-0.100000,724.62200,
HIP 88048,b,46.84,6.974494,18.167894,,,,7087.31000,
HIP 88048,c,46.84,6.974494,18.167894,,,,7786.51000,
NY Vir,b,,58.687773,326.172401,3.300000,,,730.97800,
OGLE-05-071L,b,,-3.786345,355.580141,,,,1207.70300,
OGLE-05-169L,b,,-4.739985,0.676832,,,,12.71266,
OGLE-05-390L,b,,-2.361536,359.732499,,,,5.40288,
OGLE-06-109L,b,,-1.889969,359.791319,,,,225.64979,
OGLE-06-109L,c,,-1.889969,359.791319,,,,85.81048,
OGLE-2007-BLG-368L,b,,-3.686006,358.348728,,,,22.05647,
OGLE235-MOA53,b,,-2.931153,1.773047,,,,826.32319,
OGLE2-TR-L9,b,,-0.742524,290.771358,0.030800,0.000500,-0.000500,1430.17500,18.046
OGLE-TR-10,b,,-1.576495,359.851525,0.041620,0.000040,-0.000040,193.86800,13.675
OGLE-TR-111,b,,-1.705527,289.279347,0.047000,0.001000,-0.001000,168.44280,11.960
OGLE-TR-113,b,,-1.789452,289.201702,0.022900,0.000200,-0.000200,419.51793,12.218
OGLE-TR-132,b,,-2.342921,289.234899,0.030600,0.000800,-0.000800,362.31094,13.227
OGLE-TR-182,b,,-0.630581,290.906734,0.051000,0.001000,-0.001000,320.99500,12.666
OGLE-TR-211,b,,-3.345112,288.399431,0.051000,0.001000,-0.001000,327.35111,15.244
OGLE-TR-56,b,,-2.365322,0.705194,0.022500,0.000400,-0.000400,409.98343,14.572
Oph 11,b,,17.803217,352.678580,,,,6674.15000,
PSR 1257+12,b,,75.413648,311.309690,0.190000,,,0.02225,
PSR 1257+12,c,,75.413648,311.309690,0.360000,,,4.13162,
PSR 1257+12,d,,75.413648,311.309690,0.460000,,,3.81380,
PSR B1620-26,b,,15.960031,350.976229,23.000000,,,794.54153,
Qatar-1,b,,16.424325,98.718848,0.023430,0.000260,-0.000250,346.42000,13.047
Qatar-2,b,,53.167697,327.956857,0.021490,0.000360,-0.000360,790.41000,12.823
rho CrB,b,17.43,48.923598,53.488729,0.220000,,,330.52928,
HIP 63510,c,11.43,75.085959,311.825376,1168.000000,,,1997.59000,13.675
SR 12 AB,c,,16.564993,352.979938,,,,4131.62000,
SWEEPS-04,b,,-2.626045,1.260039,0.055000,,,1200.00000,9.100
SWEEPS-11,b,,-2.656085,1.266725,0.030000,,,3100.00000,12.700
tau Boo,b,15.60,73.888976,358.936643,0.046000,,,1239.48478,
TrES-1,b,,13.440850,67.464444,0.039250,0.000560,-0.000600,239.00000,11.960
TrES-2,b,,17.808015,79.848583,0.035560,0.000750,-0.000750,381.10000,14.260
TrES-3,b,,27.289699,63.340111,0.022720,0.000170,-0.000260,615.90000,14.710
TrES-4,b,,26.993548,63.038806,0.050910,0.000710,-0.000710,292.00000,20.170
TrES-5,b,,12.742307,94.119004,0.024460,0.000680,-0.000680,565.07800,13.552
ups And,b,13.47,-20.666090,132.000907,0.059222,0.000000,-0.000000,218.53100,
ups And,c,13.47,-20.666090,132.000907,0.827774,0.000015,-0.000015,629.59500,
ups And,d,13.47,-20.666090,132.000907,2.513290,0.000750,-0.000750,1313.22000,
ups And,e,13.47,-20.666090,132.000907,5.245580,0.000670,-0.000670,336.56800,
UScoCTIO 108,b,,24.538893,354.469771,,,,4449.43255,
V391 Peg,b,,-23.029833,82.485828,1.700000,0.100000,-0.100000,1017.01316,
WASP-10,b,,-27.143928,100.111899,0.037810,0.001470,-0.000670,1000.00000,12.110
WASP-11/HAT-P-10,b,,-23.462612,155.018224,0.043900,0.000600,-0.000900,146.19564,11.713
WASP-12,b,,8.936468,184.083131,0.022900,0.004000,-0.004000,448.00000,20.100
WASP-13,b,,44.536549,190.928601,0.052700,0.001700,-0.001900,150.00000,13.600
WASP-14,b,,66.334029,25.738406,0.036000,0.001000,-0.001000,2333.00000,14.360
WASP-15,b,,28.769701,318.436464,0.049900,0.001800,-0.001800,172.00000,16.010
WASP-16,b,,38.097242,329.234586,0.042100,0.001000,-0.001800,272.00000,11.300
WASP-17,b,,18.667756,345.959737,0.051000,0.001700,-0.001800,156.00000,19.500
WASP-18,b,105.49,-69.321365,279.710041,0.020260,0.000680,-0.000680,3274.00000,12.400
WASP-19,b,,6.775996,273.405553,0.016400,0.000500,-0.000600,362.00000,14.300
WASP-1,b,,-30.429318,115.366067,0.039570,0.000490,-0.000480,292.00000,16.970
WASP-21,b,,-38.256405,91.754180,0.052000,0.000410,-0.000440,95.34500,11.994
WASP-22,b,,-53.923270,216.796333,0.046800,0.000400,-0.000400,177.97700,12.554
WASP-23,b,,-19.228595,251.926505,0.037600,0.001600,-0.002400,280.95000,10.783
WASP-24,b,,48.829684,1.862550,0.035930,0.000290,-0.000270,327.98700,12.375
WASP-25,b,,35.296814,305.648960,0.047400,0.000400,-0.000400,184.33400,14.123
WASP-26,b,,-75.871357,88.352441,0.040000,0.000300,-0.000300,324.17300,14.796
WASP-28,b,,-58.486355,83.860077,0.045500,0.000500,-0.000500,289.21300,12.554
WASP-29,b,,-72.181665,343.320549,0.045600,0.000600,-0.000600,78.81850,8.295
WASP-2,b,,-18.712649,50.773854,0.031380,0.001420,-0.001420,290.00000,12.520
WASP-31,b,,38.539307,274.225690,,,,,
WASP-32,b,,-60.404269,104.685060,0.039400,0.000300,-0.000300,1144.14000,13.227
WASP-33,b,116.14,-21.556785,143.096879,0.025550,0.000170,-0.000170,1303.05000,16.780
WASP-34,b,,32.531971,272.918586,0.052400,0.000400,-0.000400,187.51200,13.675
WASP-35,b,,-26.620540,206.016402,0.043170,0.000280,-0.000280,228.82800,14.796
WASP-36,b,,21.088889,234.385501,,,,,
WASP-37,b,,51.822981,354.774143,0.043390,0.001430,-0.001520,539.01700,12.733
WASP-38,b,,39.032874,23.528268,0.075510,0.000840,-0.000850,861.91900,12.095
WASP-39,b,,51.371134,344.403446,0.048600,0.000500,-0.000500,88.98870,14.235
WASP-3,b,,18.611206,64.175020,0.031510,0.001500,-0.000987,570.00000,14.500
WASP-41,b,,32.192264,300.653777,0.040300,0.000500,-0.000500,292.39100,13.563
WASP-43,b,,37.870020,252.786807,0.014200,0.000400,-0.000400,565.71400,10.424
WASP-44,b,,-72.639264,92.237408,0.034730,0.000410,-0.000410,282.53900,12.778
WASP-45,b,,-79.015522,337.207130,0.040540,0.000900,-0.000900,320.04100,13.002
WASP-46,b,,-42.073749,340.697735,0.024480,0.000280,-0.000280,667.73300,14.684
WASP-48,b,,17.627360,86.882482,0.034440,0.000430,-0.000430,311.46000,18.719
WASP-4,b,,-68.295846,344.493143,0.022550,0.000950,-0.000650,385.00000,14.620
WASP-50,b,,-56.789395,189.679500,0.029450,0.000850,-0.000850,466.55500,12.924
WASP-5,b,,-72.018158,337.593339,0.026830,0.000880,-0.000750,502.00000,12.220
WASP-6,b,,-67.195486,38.731023,0.042100,0.000800,-0.001300,160.00000,13.720
WASP-7,b,,-37.876944,2.822176,0.061800,0.001400,-0.003300,310.00000,10.300
WASP-8,b,,-76.394972,354.252018,0.080100,0.001400,-0.001600,713.20000,11.630
XO-1,b,,48.021248,45.852868,0.049280,0.000890,-0.000890,292.00000,13.520
XO-2,b,,29.328608,168.289133,0.036840,0.000400,-0.000430,180.00000,11.000
XO-3,b,,5.628519,148.097181,0.047600,0.000500,-0.000500,4211.00000,21.860
XO-4,b,,26.689429,158.635374,0.055500,0.001100,-0.001100,546.64457,15.020
XO-5,b,,26.934689,180.625629,0.050800,0.000500,-0.000500,365.00000,12.900
11 Com,b,110.62,78.280522,264.140892,1.290000,0.050000,-0.050000,6165.64000,
11 UMi,b,119.47,41.044516,108.718982,1.540000,0.070000,-0.070000,3337.07442,
14 And,b,76.39,-21.050610,106.411558,0.830000,,,1500.00000,
14 Her,b,18.15,46.944999,69.170376,2.770000,0.050000,-0.050000,1474.66908,
16 Cyg B,b,21.41,13.204352,83.336460,1.681000,0.097000,-0.097000,534.00000,
18 Del,b,73.10,-21.974824,58.691434,2.600000,,,3273.51109,
1RXS1609,b,,22.030427,352.890560,330.000000,,,,
24 Sex,b,74.79,44.715734,245.085309,1.410000,0.030000,-0.030000,508.50700,
24 Sex,c,74.79,44.715734,245.085309,2.220000,0.060000,-0.060000,444.94300,
2M0746+20,b,,20.839714,200.437479,,,,9984.90000,
2M1207,b,,22.543298,293.790365,41.000000,,,1271.26644,16.813
2M2140+16,b,,-26.437257,70.485105,,,,6656.60000,
2M2206-20,b,,-51.929519,33.361267,,,,9984.90000,
2M J044144,b,,-15.114249,176.510593,15.000000,,,2383.62000,
30 Ari B,b,40.13,-32.305302,151.487634,0.995000,0.012000,-0.012000,3140.02812,
42 Dra,b,97.28,27.125611,95.419171,1.190000,0.010000,-0.010000,1233.12845,
47 Uma,b,14.08,63.369127,175.782531,2.100000,0.020000,-0.020000,804.00000,
47 Uma,c,14.08,63.369127,175.782531,3.600000,0.100000,-0.100000,172.00000,
47 Uma,d,14.08,63.369127,175.782531,11.600000,2.100000,-2.900000,521.00000,
4 Uma,b,77.40,35.956900,151.358914,0.870000,0.040000,-0.040000,2256.49800,
51 Peg,b,15.36,-34.727214,90.062611,0.052700,0.003000,-0.003000,150.00000,
55 Cnc,b,12.53,37.698968,196.794709,0.115000,0.000001,-0.000001,261.88100,
55 Cnc,c,12.53,37.698968,196.794709,0.240000,0.000045,-0.000045,53.71100,
55 Cnc,d,12.53,37.698968,196.794709,5.770000,0.110000,-0.110000,1218.82700,
55 Cnc,e,12.53,37.698968,196.794709,0.015730,0.000540,-0.000540,8.58105,1.637
55 Cnc,f,12.53,37.698968,196.794709,0.781000,0.007000,-0.007000,45.76559,
61 Vir,b,8.52,44.092637,311.859025,0.050201,0.000005,-0.000005,5.08507,
61 Vir,c,8.52,44.092637,311.859025,0.217500,0.000100,-0.000100,18.21089,
61 Vir,d,8.52,44.092637,311.859025,0.476000,0.001000,-0.001000,22.88280,
6 Lyn,b,56.95,20.189874,156.971465,2.180000,0.050000,-0.060000,702.00000,
70 Vir,b,18.11,74.100664,337.665279,0.484000,0.028000,-0.028000,2380.00000,
7 CMa,b,19.84,-11.796021,228.688399,1.900000,0.100000,-0.100000,826.00000,
81 Cet,b,97.18,-55.249930,174.486548,2.500000,,,1684.42800,
AB Pic,b,45.52,-26.930799,266.943713,260.000000,,,4290.52400,
HIP 9884,b,20.21,-36.205483,144.578434,1.200000,,,572.07000,
BD-082823,b,42.09,34.756008,248.496598,0.056000,0.002000,-0.002000,14.00000,
BD-082823,c,42.09,34.756008,248.496598,0.680000,0.020000,-0.020000,100.00000,
BD-10 3166,b,,43.238448,263.285542,0.045200,0.002600,-0.002600,146.00000,
BD+14 4559,b,50.03,-22.630868,64.417655,0.777000,,,467.19000,
BD-17 63,b,37.54,-77.878025,95.838660,1.340000,0.020000,-0.020000,1620.86472,
BD+20 2457,b,,53.952466,216.044637,1.450000,,,6807.63181,
BD+20 2457,c,,53.952466,216.044637,2.010000,,,3963.17314,
BD +48 738,b,,-9.378616,140.808446,1.000000,,,289.00000,
beta Pic,b,19.28,-30.611632,258.363880,8.000000,,,2542.53300,
BOKS-1,b,,11.633380,79.292224,0.047700,0.000700,-0.000700,,12.442
CoRoT-10,b,,-6.952866,37.360770,0.105500,0.002100,-0.002100,873.99600,10.873
CoRoT-11,b,,4.630184,37.240052,0.043600,0.005000,-0.005000,740.51300,16.029
CoRoT-12,b,,-2.454352,213.131578,0.040160,0.000930,-0.000920,291.43800,16.141
CoRoT-13,b,,-2.439602,217.398629,0.051000,0.003100,-0.003100,415.70400,9.920
CoRoT-14,b,,-2.020520,218.117909,,,,2409.05000,12.218
CoRoT-16,b,,1.101178,25.614289,0.061800,0.001500,-0.001500,170.03200,13.114
CoRoT-17,b,,0.666416,25.152987,0.046100,0.000800,-0.000800,772.29400,11.433
CoRoT-18,b,,-4.184836,210.819116,0.029500,0.001600,-0.001600,1102.82000,14.684
CoRoT-19,b,,-5.261174,210.420555,0.051800,0.000800,-0.000800,352.80000,14.460
CoRoT-1,b,,-2.107036,215.338872,0.025400,0.000400,-0.000400,327.35111,16.701
CoRoT-20,b,,-4.468533,210.381237,0.090200,,,1348.00000,9.420
CoRoT-23,b,,4.719742,35.417464,0.048000,0.004000,-0.004000,890.00000,11.770
CoRoT-2,b,,-7.290922,38.262670,0.028100,0.000900,-0.000900,1051.97300,16.421
CoRoT-3,b,,-8.120552,37.262944,0.057000,0.003000,-0.003000,6883.90800,11.321
CoRoT-4,b,,-0.898357,213.227628,0.090000,0.001000,-0.001000,228.82800,13.339
CoRoT-5,b,,-1.036103,211.484737,0.049470,0.000260,-0.000290,148.00000,15.500
CoRoT-6,b,,4.615925,38.062962,0.085500,0.001500,-0.001500,941.00000,13.068
CoRoT-7,b,,-2.178513,213.010460,0.017200,0.000290,-0.000290,4.80000,1.680
CoRoT-7,c,,-2.178513,213.010460,0.046000,,,8.39036,
CoRoT-8,b,,-7.104052,38.212920,0.063000,0.001000,-0.001000,69.91970,6.389
CoRoT-9,b,,4.662240,37.523411,0.407000,0.005000,-0.005000,266.96600,11.769
CT Cha,b,,-14.909141,296.653702,440.000000,,,5402.88200,24.660
DP Leo,b,,66.456659,230.897313,8.600000,,,1995.88832,
eps Eridani,b,3.22,-48.051279,195.844698,3.390000,0.360000,-0.360000,492.61600,
eps Tau,b,47.53,-19.923586,177.596421,1.930000,0.030000,-0.030000,2415.40624,
Fomalhaut,b,7.69,-64.909570,20.488021,115.000000,,,953.45000,
FU Tau,b,,-16.960787,172.115587,,,,4767.25000,
gamma 1 Leo,b,38.52,54.652393,216.551735,1.190000,0.020000,-0.020000,2790.42984,
gamma Cephei,b,13.79,15.315533,118.992180,2.130000,0.050000,-0.050000,540.00000,
GJ 1214,b,,23.610853,26.163964,0.009492,0.000400,-0.000400,6.55000,2.678
GJ 3021,b,17.62,-37.144007,304.871337,0.490000,,,1071.04198,
GJ 317,b,,11.189974,246.799395,1.150000,0.050000,-0.050000,794.54200,
GJ 317,c,,11.189974,246.799395,25.000000,15.000000,-15.000000,635.63300,
GJ 3634,b,,25.810030,276.223415,0.028700,0.001000,-0.001100,7.00000,
GJ 433,b,9.04,27.654775,284.883981,,,,6.03852,
GJ 436,b,10.23,74.568904,210.542041,0.028500,,,22.70000,4.040
GJ 649,b,10.32,35.337414,46.523749,1.135000,0.035000,-0.035000,104.00000,
GJ 667C,b,,1.414650,351.839581,0.049000,,,5.68570,
GJ 667C,c,,1.414650,351.839581,0.123000,0.020000,-0.020000,4.54500,
GJ 674,b,4.54,-6.777523,343.003882,0.039000,,,11.09000,
GJ 676A,b,16.13,-9.542696,339.103970,,,,1271.26644,
GJ 832,b,4.94,-46.349541,349.172997,3.400000,0.400000,-0.400000,203.40263,
Gj 849,b,8.77,-45.399081,55.890562,2.350000,,,260.00000,
Gl 179,b,12.12,-22.862487,192.225850,2.410000,0.040000,-0.040000,260.00000,
Gl 581,b,6.27,40.018750,354.077543,0.040000,,,15.65000,
Gl 581,c,6.27,40.018750,354.077543,0.070000,,,5.36000,
Gl 581,d,6.27,40.018750,354.077543,0.220000,,,7.09000,
Gl 581,e,6.27,40.018750,354.077543,0.030000,,,1.94000,
Gl 86,b,10.91,-61.960869,275.926290,0.113000,0.006500,-0.006500,1243.00000,
Gliese 876,b,4.70,-59.630067,52.003955,0.211000,,,839.00000,
Gliese 876,c,4.70,-59.630067,52.003955,0.132000,,,260.00000,
Gliese 876,d,4.70,-59.630067,52.003955,0.021000,,,6.30000,
Gliese 876,e,4.70,-59.630067,52.003955,0.334300,0.001300,-0.001300,124.26000,
GQ Lup,b,,14.511039,338.925673,,,,6830.00000,20.000
GSC 06214-00210,b,,20.124738,355.261958,,,,4449.43000,
HAT-P-11,b,36.36,10.772474,81.833662,0.053000,0.000200,-0.000800,25.74315,4.730
HAT-P-12,b,,68.875804,87.991696,0.038400,0.000300,-0.000300,67.10000,10.700
HAT-P-13,b,,37.542172,172.498255,0.042700,0.000600,-0.001200,271.00000,14.360
HAT-P-13,c,,37.542172,172.498255,1.188000,0.018000,-0.033000,4830.00000,
HAT-P-14,b,,33.537604,62.589094,0.060600,0.000700,-0.000700,709.36700,12.890
HAT-P-15,b,,-6.891566,161.558568,0.096400,0.001400,-0.001400,618.47100,12.016
HAT-P-16,b,,-20.342618,120.346854,0.041300,0.000400,-0.000400,1332.61000,14.448
HAT-P-17,b,,-16.176687,80.852110,0.088200,0.001400,-0.001400,168.44300,11.321
HAT-P-17,c,,-16.176687,80.852110,2.750000,0.120000,-0.120000,444.94300,
HAT-P-18,b,,35.561804,55.652182,0.055900,0.000700,-0.000700,62.60990,11.153
HAT-P-19,b,,-28.079258,119.817745,0.046600,0.000800,-0.000800,92.80250,12.689
HAT-P-1,b,,-19.036217,99.791512,0.055310,0.001400,-0.001400,167.00000,13.730
HAT-P-20,b,,18.394672,194.414905,0.036100,0.000500,-0.000500,2302.90000,9.718
HAT-P-21,b,,67.463713,169.324835,0.049400,0.000700,-0.000700,1291.29000,11.478
HAT-P-22,b,,53.566834,163.647264,0.041400,0.000500,-0.000500,682.35200,12.106
HAT-P-23,b,,-11.834165,58.936294,0.023200,0.000200,-0.000200,664.23700,15.334
