pl_hostname,pl_letter,st_dist,st_disterr,st_glon,st_glat,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2
HD 290327,b,54.92,4.02,204.612647,-20.581228,,,,807.25419,0.00000,0.00000,,,,2.54000,,,,,
HD 30177,b,54.71,2.21,267.369772,-39.734031,3.860000,0.900000,-0.900000,2914.37832,476.72492,-476.72492,,,,9.17000,1.50000,-1.50000,,,
HD 30562,b,26.50,0.61,203.396346,-29.824001,2.300000,0.020000,-0.020000,409.98343,25.42533,-25.42533,,,,1.29000,0.08000,-0.08000,,,
HD 30856,b,121.07,11.78,224.272147,-36.653814,2.000000,,,572.00000,0.00000,0.00000,,,,1.80000,,,,,
HD 31253,b,53.82,3.06,187.392137,-19.044108,1.260000,0.006000,-0.006000,158.90800,22.24720,-22.24720,,,,0.50000,0.07000,-0.07000,,,
HD 31527,b,38.01,1.15,223.389266,-35.153283,0.125300,,,11.54000,0.00000,0.00000,,,,0.03630,,,,,
HD 31527,c,38.01,1.15,223.389266,-35.153283,0.266500,,,15.83000,0.00000,0.00000,,,,0.04980,,,,,
HD 31527,d,38.01,1.15,223.389266,-35.153283,0.818100,,,16.49000,0.00000,0.00000,,,,0.05190,,,,,
HD 32518,b,117.37,9.84,142.122763,17.121583,0.590000,0.030000,-0.030000,966.16250,219.29346,-219.29346,,,,3.04000,0.69000,-0.69000,,,
HD 330075,b,50.20,3.49,329.806725,3.376207,0.043000,,,241.54062,0.00000,0.00000,,,,0.76000,,,,,
HD 33142,b,136.80,15.73,214.337621,-29.226453,1.060000,,,413.00000,0.00000,0.00000,,,,1.30000,,,,,
HD 33283,b,86.88,6.30,228.496876,-33.505333,0.168000,,,104.87948,0.00000,0.00000,,,,0.33000,,,,,
HD 33564,b,20.98,0.23,133.734459,22.648095,1.100000,,,2892.13116,0.00000,0.00000,,,,9.10000,,,,,
