pl_hostname,pl_letter,st_dist,st_disterr,st_glon,st_glat,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_massj,pl_massjerr1,pl_massjerr2,pl_radj,pl_radjerr1,pl_radjerr2
HD 99706,b,130.89,13.24,162.266818,66.296970,2.140000,,,445.00000,0.00000,0.00000,,,,1.40000,,,,,
HIP 11952,b,115.34,19.92,186.496279,-61.783773,0.810000,0.020000,-0.020000,931.20300,133.48300,-133.48300,,,,2.93000,0.42000,-0.42000,,,
HIP 11952,c,115.34,19.92,186.496279,-61.783773,0.070000,0.010000,-0.010000,247.89700,50.85100,-50.85100,,,,0.78000,0.16000,-0.16000,,,
HIP 12961,b,23.80,0.86,210.539391,-63.651535,,,,149.37381,0.00000,0.00000,,,,0.47000,,,,,
HIP 13044,b,223.21,,240.226542,-63.806529,0.116000,0.010000,-0.010000,397.27100,15.89080,-15.89080,,,,1.25000,0.05000,-0.05000,,,
HIP 14810,b,52.88,3.77,161.550961,-31.094518,0.069200,0.004000,-0.004000,1233.12845,101.70132,-101.70132,,,,3.88000,0.32000,-0.32000,,,
HIP 14810,c,52.88,3.77,161.550961,-31.094518,0.545000,0.031000,-0.031000,406.80526,31.78166,-31.78166,,,,1.28000,0.10000,-0.10000,,,
HIP 14810,d,52.88,3.77,161.550961,-31.094518,1.890000,0.110000,-0.110000,181.15500,16.52600,-16.52600,,,,0.57000,0.05200,-0.05200,,,
HIP 5158,b,44.80,3.89,159.036135,-84.271115,0.890000,,,451.00000,0.00000,0.00000,,,,1.42000,,,,,
HIP 5158,c,44.80,3.89,159.036135,-84.271115,7.700000,1.880000,-1.880000,4779.96000,3352.97000,-3352.97000,,,,15.04000,10.55000,-10.55000,,,
HIP 57050,b,11.03,0.36,160.612622,68.918003,0.163506,0.000042,-0.000042,94.70940,7.94542,-7.94542,,,,0.29800,0.02500,-0.02500,,,
HIP 57274,b,25.87,0.71,194.246675,74.932183,0.070000,,,11.40000,0.00000,0.00000,,,,0.03600,,,,,
HIP 57274,c,25.87,0.71,194.246675,74.932183,0.178000,,,130.00000,0.00000,0.00000,,,,0.41000,,,,,
HIP 57274,d,25.87,0.71,194.246675,74.932183,1.010000,,,167.50000,0.00000,0.00000,,,,0.52700,,,,,
HIP 70849,b,23.98,1.11,319.967812,13.145278,,,,1589.08306,0.00000,0.00000,,,,5.00000,,,,,
HIP 75458,b,31.33,0.49,93.971038,48.627879,1.275000,0.074000,-0.074000,2803.14251,228.82796,-228.82796,,,,8.82000,0.72000,-0.72000,,,
HIP 78530,b,131.93,14.28,350.870628,22.681059,,,,7322.49000,1271.27000,-1271.27000,,,,23.04000,4.00000,-4.00000,,,
HIP 79431,b,14.90,0.75,355.200221,22.969669,0.360000,,,667.41500,0.00000,0.00000,,,,2.10000,,,,,
HIP 107350,b,18.39,0.28,69.859355,-28.269284,773.000000,13.000000,-13.000000,6991.57000,2996.39000,-2996.39000,11.777,1.527,-0.654,21.99870,9.42803,-9.42803,1.051,0.136,-0.058
HR 810,b,17.24,0.16,268.809626,-58.323534,0.910000,0.104000,-0.104000,616.56423,57.20699,-57.20699,,,,1.94000,0.18000,-0.18000,,,
HR 8799,b,39.94,1.31,92.764215,-35.575078,68.000000,,,2000.00000,1000.00000,-600.00000,13.000,1.000,-1.000,7.00000,4.00000,-2.00000,1.200,0.100,-0.100
HR 8799,c,39.94,1.31,92.764215,-35.575078,38.000000,,,3000.00000,1000.00000,-1000.00000,13.000,1.000,0.000,10.00000,3.00000,-3.00000,1.200,0.100,0.000
HR 8799,d,39.94,1.31,92.764215,-35.575078,24.000000,,,3000.00000,1000.00000,-1000.00000,13.000,1.000,0.000,10.00000,3.00000,-3.00000,1.200,0.100,0.000
HR 8799,e,39.94,1.31,92.764215,-35.575078,14.500000,0.500000,-0.500000,,,,,,,,,,,,
HW Vir,b,130.72,,299.933984,54.159072,,,,6102.07893,,,,,,19.20000,,,,,
HW Vir,c,130.72,,299.933984,54.159072,,,,2701.44119,,,,,,8.50000,,,,,
kappa CrB,b,31.12,0.58,57.016934,51.041377,2.600000,,,508.50700,,,,,,1.60000,,,,,
KELT-1,b,262.00,14.00,112.503911,-22.473519,0.024660,0.000160,-0.000160,8654.15000,158.90800,-152.55200,12.442,0.359,-0.247,27.23000,0.50000,-0.48000,1.110,0.032,-0.022
KELT-2A,b,124.22,16.58,180.950233,5.708274,0.054960,0.000390,-0.000360,483.71700,24.78970,-24.47190,14.415,0.729,-0.527,1.52200,0.07800,-0.07700,1.286,0.065,-0.047
Kepler-10,b,173.00,27.00,80.489685,18.816234,0.016840,0.000320,-0.000340,4.56000,1.17000,-1.29000,1.416,0.033,-0.036,0.01430,0.00360,-0.00400,0.127,0.003,-0.003
Kepler-10,c,173.00,27.00,80.489685,18.816234,0.240700,0.004400,-0.005300,20.00000,,,2.227,0.052,-0.057,0.06293,,,0.199,0.005,-0.005
Kepler-11,b,613.00,,76.161295,8.133360,0.091000,0.003000,-0.003000,4.30000,2.20000,-2.00000,1.970,0.190,-0.190,0.01353,0.00692,-0.00629,0.176,0.017,-0.017
Kepler-11,c,613.00,,76.161295,8.133360,0.106000,0.004000,-0.004000,13.50000,4.80000,-6.10000,3.150,0.300,-0.300,0.04250,0.01510,-0.01980,0.282,0.027,-0.027
Kepler-11,d,613.00,,76.161295,8.133360,0.159000,0.005000,-0.005000,6.10000,3.10000,-1.70000,3.430,0.320,-0.320,0.01919,0.00975,-0.00535,0.307,0.029,-0.029
Kepler-11,e,613.00,,76.161295,8.133360,0.194000,0.007000,-0.007000,8.40000,2.50000,-1.90000,4.520,0.430,-0.430,0.02643,0.00787,-0.00598,0.404,0.038,-0.038
Kepler-11,f,613.00,,76.161295,8.133360,0.250000,0.009000,-0.009000,2.30000,2.20000,-1.20000,2.610,0.250,-0.250,0.00724,0.00692,-0.00378,0.234,0.022,-0.022
Kepler-11,g,613.00,,76.161295,8.133360,0.462000,0.016000,-0.016000,300.00000,,,3.660,0.350,-0.350,0.95000,,,0.327,0.031,-0.031
Kepler-12,b,600.00,,80.423384,18.407464,0.055600,0.000700,-0.000700,137.00000,13.00000,-12.70000,18.999,0.314,-0.359,0.43100,0.04100,-0.04000,1.695,0.028,-0.032
Kepler-14,b,600.00,,78.152825,16.516947,,,,2669.66000,60.38520,-57.20700,12.733,0.818,-0.605,8.40000,0.19000,-0.18000,1.136,0.073,-0.054
Kepler-15,b,,,82.303656,12.152630,0.057140,0.000860,-0.000930,209.75900,25.42530,-28.60350,10.761,0.673,-0.785,0.66000,0.08000,-0.09000,0.960,0.060,-0.070
Kepler-16,b,61.00,,82.785564,17.366238,0.704800,0.001100,-0.001100,105.80000,5.09000,-5.09000,8.449,0.029,-0.029,0.33300,0.01600,-0.01600,0.754,0.003,-0.003
Kepler-17,b,,,81.824926,10.241738,0.025910,0.000370,-0.000360,778.65100,36.23110,-36.23110,14.706,0.202,-0.202,2.45000,0.11400,-0.11400,1.312,0.018,-0.018
Kepler-18,b,,,79.007432,8.920195,0.044700,0.000600,-0.000600,6.90000,3.40000,-3.40000,2.000,0.100,-0.100,0.02170,0.01070,-0.01070,0.178,0.009,-0.009
Kepler-18,c,,,79.007432,8.920195,0.075200,0.001100,-0.001100,17.30000,1.90000,-1.90000,5.490,0.260,-0.260,0.05443,0.00598,-0.00598,0.490,0.023,-0.023
Kepler-18,d,,,79.007432,8.920195,0.117200,0.001700,-0.001700,16.40000,1.40000,-1.40000,6.980,0.330,-0.330,0.05160,0.00441,-0.00441,0.623,0.029,-0.029
Kepler-19,b,2119.00,,70.102377,10.797104,,,,14.00000,,,2.209,0.048,-0.048,0.04405,,,0.197,0.004,-0.004
Kepler-20,b,290.00,30.00,73.377020,14.573594,0.045370,0.000540,-0.000600,8.70000,2.10000,-2.20000,1.910,0.120,-0.210,0.02740,0.00661,-0.00692,0.170,0.011,-0.019
Kepler-20,c,290.00,30.00,73.377020,14.573594,0.093000,0.001100,-0.001100,16.10000,3.30000,-3.70000,3.070,0.200,-0.310,0.05066,0.01040,-0.01160,0.274,0.018,-0.028
Kepler-20,d,290.00,30.00,73.377020,14.573594,0.345300,0.004100,-0.004600,20.10000,,,2.750,0.170,-0.300,0.06324,,,0.245,0.015,-0.027
Kepler-20,e,290.00,30.00,73.377020,14.573594,,,,3.08000,,,0.868,0.074,-0.096,0.00969,,,0.077,0.007,-0.009
Kepler-20,f,290.00,30.00,73.377020,14.573594,,,,14.30000,,,1.030,0.100,-0.170,0.04499,,,0.092,0.009,-0.015
Kepler-21,b,107.88,8.47,69.856227,13.336874,0.042507,0.000098,-0.000119,10.40000,,,1.635,0.038,-0.043,0.03272,,,0.146,0.003,-0.004
Kepler-22,b,190.00,,79.091866,15.792364,0.849000,0.018000,-0.017000,,,,2.380,0.130,-0.130,,,,0.212,0.012,-0.012
Kepler-23,b,800.00,,82.013654,13.458059,0.075000,,,250.00000,,,1.900,,,0.80000,,,0.170,,
Kepler-23,c,800.00,,82.013654,13.458059,0.099000,,,858.00000,,,3.200,,,2.70000,,,0.285,,
Kepler-24,b,1200.00,,70.549869,11.018412,0.080000,,,509.00000,,,2.400,,,1.60000,,,0.214,,
Kepler-24,c,1200.00,,70.549869,11.018412,0.106000,,,509.00000,,,2.400,,,1.60000,,,0.214,,
Kepler-25,b,,,70.349654,14.164116,0.068000,,,4036.00000,,,2.600,,,12.70000,,,0.232,,
Kepler-25,c,,,70.349654,14.164116,0.110000,,,1322.00000,,,4.500,,,4.16000,,,0.401,,
Kepler-26,b,,,76.680019,17.992986,0.085000,,,120.80000,,,3.600,,,0.38000,,,0.321,,
Kepler-26,c,,,76.680019,17.992986,0.107000,,,119.20000,,,3.600,,,0.37500,,,0.321,,
Kepler-27,b,,,73.687041,10.974464,0.118000,,,2895.00000,,,4.000,,,9.11000,,,0.357,,
Kepler-27,c,,,73.687041,10.974464,0.191000,,,4386.00000,,,4.900,,,13.80000,,,0.437,,
Kepler-28,b,,,74.880406,11.638758,0.062000,,,479.90000,,,3.600,,,1.51000,,,0.321,,
Kepler-28,c,,,74.880406,11.638758,0.081000,,,432.20000,,,3.400,,,1.36000,,,0.303,,
Kepler-29,b,1400.00,,81.522546,10.110383,0.090000,,,130.00000,,,3.600,0.500,-0.500,0.40000,,,0.321,0.045,-0.045
Kepler-29,c,1400.00,,81.522546,10.110383,0.110000,,,95.00000,,,2.900,0.400,-0.400,0.30000,,,0.259,0.036,-0.036
Kepler-30,b,1400.00,,69.407080,14.913405,0.180000,,,64.00000,,,3.700,0.500,-0.500,0.20000,,,0.330,0.045,-0.045
Kepler-30,c,1400.00,,69.407080,14.913405,0.300000,,,2890.00000,,,14.400,1.800,-1.800,9.10000,,,1.285,0.161,-0.161
Kepler-30,d,1400.00,,69.407080,14.913405,0.500000,,,5403.00000,,,10.700,1.400,-1.400,17.00000,,,0.955,0.125,-0.125
Kepler-31,b,2100.00,,78.626968,11.957206,0.160000,,,,,,4.300,0.800,-0.800,,,,0.384,0.071,-0.071
Kepler-31,c,2100.00,,78.626968,11.957206,0.260000,,,1490.00000,,,4.200,0.800,-0.800,4.70000,,,0.375,0.071,-0.071
Kepler-32,b,280.00,,80.539109,9.962307,0.050000,,,1300.00000,,,4.100,0.400,-0.400,4.10000,,,0.366,0.036,-0.036
Kepler-32,c,280.00,,80.539109,9.962307,0.090000,,,160.00000,,,3.700,0.400,-0.400,0.50000,,,0.330,0.036,-0.036
Kepler-33,b,,,77.262828,15.134208,0.067700,0.001400,-0.001400,,,,1.740,0.180,-0.180,,,,0.155,0.016,-0.016
Kepler-33,c,,,77.262828,15.134208,0.118900,0.002500,-0.002500,,,,3.200,0.300,-0.300,,,,0.285,0.027,-0.027
Kepler-33,d,,,77.262828,15.134208,0.166200,0.003500,-0.003500,,,,5.350,0.490,-0.490,,,,0.477,0.044,-0.044
Kepler-33,e,,,77.262828,15.134208,0.213800,0.004500,-0.004500,,,,4.020,0.380,-0.380,,,,0.359,0.034,-0.034
Kepler-33,f,,,77.262828,15.134208,0.253500,0.005400,-0.005400,,,,4.460,0.410,-0.410,,,,0.398,0.037,-0.037
Kepler-34,b,1499.00,33.00,78.338673,9.890152,1.089600,0.000900,-0.000900,69.92000,3.50000,-3.18000,8.564,0.135,-0.157,0.22000,0.01100,-0.01000,0.764,0.012,-0.014
Kepler-35,b,1645.00,43.00,79.541348,12.043345,0.603470,0.001010,-0.001030,40.36000,6.36000,-6.36000,8.160,0.157,-0.157,0.12700,0.02000,-0.02000,0.728,0.014,-0.014
Kepler-36,b,470.00,,80.932793,15.102011,0.115300,0.001500,-0.001500,4.45000,0.33000,-0.27000,1.486,0.035,-0.035,0.01400,0.00100,-0.00080,0.133,0.003,-0.003
Kepler-36,c,470.00,,80.932793,15.102011,0.128300,0.001600,-0.001600,8.08000,0.60000,-0.46000,3.679,0.054,-0.054,0.02540,0.00190,-0.00140,0.328,0.005,-0.005
Kepler-48,b,,,76.090019,6.338926,,,,,,,2.140,,,,,,0.191,,
Kepler-48,c,,,76.090019,6.338926,,,,,,,3.140,,,,,,0.280,,
Kepler-49,b,,,73.257294,10.713872,,,,,,,2.720,,,,,,0.243,,
Kepler-49,c,,,73.257294,10.713872,,,,,,,2.550,,,,,,0.227,,
Kepler-4,b,550.00,80.00,80.370077,18.818498,0.045600,0.000900,-0.000900,24.47190,3.81380,-3.81380,4.002,0.213,-0.213,0.07700,0.01200,-0.01200,0.357,0.019,-0.019
Kepler-50,b,,,80.870056,17.292683,,,,,,,2.200,,,,,,0.196,,
Kepler-50,c,,,80.870056,17.292683,,,,,,,2.790,,,,,,0.249,,
Kepler-51,b,,,83.112602,12.362431,,,,,,,7.050,,,,,,0.629,,
Kepler-51,c,,,83.112602,12.362431,,,,,,,5.710,,,,,,0.509,,
Kepler-52,b,,,80.478264,18.087202,,,,,,,2.100,,,,,,0.187,,
Kepler-52,c,,,80.478264,18.087202,,,,,,,1.840,,,,,,0.164,,
Kepler-53,b,,,72.604782,11.950549,,,,,,,2.890,,,,,,0.258,,
Kepler-53,c,,,72.604782,11.950549,,,,,,,3.170,,,,,,0.283,,
Kepler-54,b,,,76.344940,10.198136,,,,,,,2.100,,,,,,0.187,,
Kepler-54,c,,,76.344940,10.198136,,,,,,,1.230,,,,,,0.110,,
Kepler-55,b,,,74.258049,16.925295,,,,,,,2.430,,,,,,0.217,,
Kepler-55,c,,,74.258049,16.925295,,,,,,,2.210,,,,,,0.197,,
Kepler-56,b,,,74.925629,10.314409,,,,,,,3.840,,,,,,0.343,,
Kepler-56,c,,,74.925629,10.314409,,,,,,,7.850,,,,,,0.700,,
Kepler-57,b,,,77.412567,11.657741,,,,,,,2.190,,,,,,0.195,,
Kepler-57,c,,,77.412567,11.657741,,,,,,,1.550,,,,,,0.138,,
Kepler-58,b,,,73.419014,7.266343,,,,,,,2.780,,,,,,0.248,,
Kepler-58,c,,,73.419014,7.266343,,,,,,,2.860,,,,,,0.255,,
Kepler-59,b,,,77.303368,16.677605,,,,,,,1.100,,,,,,0.098,,
Kepler-59,c,,,77.303368,16.677605,,,,,,,1.980,,,,,,0.177,,
Kepler-5,b,,,78.866355,7.742768,0.050640,0.000700,-0.000700,671.86400,17.79770,-18.75120,16.040,0.460,-0.583,2.11400,0.05600,-0.05900,1.431,0.041,-0.052
Kepler-60,b,,,73.699402,13.689974,,,,,,,2.280,,,,,,0.203,,
Kepler-60,c,,,73.699402,13.689974,,,,,,,2.470,,,,,,0.220,,
Kepler-60,d,,,73.699402,13.689974,,,,,,,2.550,,,,,,0.227,,
Kepler-6,b,,,81.692659,11.359476,0.045670,0.000550,-0.000460,212.61900,7.94542,-9.53450,14.829,0.291,-0.325,0.66900,0.02500,-0.03000,1.323,0.026,-0.029
Kepler-7,b,,,72.477827,13.462905,0.062240,0.001090,-0.000840,137.61500,12.71270,-13.03050,16.567,0.560,-0.572,0.43300,0.04000,-0.04100,1.478,0.050,-0.051
Kepler-8,b,1330.00,80.00,71.658860,19.012843,0.048300,0.000600,-0.001200,191.64300,41.31620,-60.38520,15.905,0.628,-0.650,0.60300,0.13000,-0.19000,1.419,0.056,-0.058
Kepler-9,b,650.00,,68.980138,14.489877,0.140000,0.001000,-0.001000,80.08980,4.13162,-4.13162,9.438,0.773,-0.773,0.25200,0.01300,-0.01300,0.842,0.069,-0.069
Kepler-9,c,650.00,,68.980138,14.489877,0.225000,0.001000,-0.001000,54.34660,4.13162,-4.13162,9.225,0.751,-0.751,0.17100,0.01300,-0.01300,0.823,0.067,-0.067
Kepler-9,d,650.00,,68.980138,14.489877,0.027300,0.000420,-0.000430,,,,1.640,0.190,-0.140,,,,0.146,0.017,-0.013
KOI-1725,b,,,78.169113,19.451017,0.075100,0.001400,-0.001400,,,,2.650,0.670,-0.670,,,,0.236,0.060,-0.060
KOI-1727,b,,,71.587006,16.613104,0.267200,0.003600,-0.003600,,,,8.050,1.080,-1.080,,,,0.718,0.096,-0.096
Kepler-43,b,1950.00,,76.856908,17.836659,0.044900,0.001000,-0.001000,1026.55000,60.38500,-60.38500,13.451,0.673,-0.673,3.23000,0.19000,-0.19000,1.200,0.060,-0.060
KOI-13,b,,,77.505951,16.806620,,,,,,,16.197,0.179,-0.179,,,,1.445,0.016,-0.016
Kepler-41,b,770.00,100.00,78.902009,11.711501,0.030000,0.001000,-0.001000,174.79900,28.60400,-28.60400,9.976,0.560,-0.560,0.55000,0.09000,-0.09000,0.890,0.050,-0.050
Kepler-44,b,2250.00,300.00,80.619822,8.200931,0.045500,0.001300,-0.001300,324.17300,22.24700,-22.24700,13.899,0.785,-0.785,1.02000,0.07000,-0.07000,1.240,0.070,-0.070
Kepler-45,b,333.00,33.00,73.887154,10.536433,,,,160.49700,28.60400,-28.60400,10.761,1.233,-1.233,0.50500,0.09000,-0.09000,0.960,0.110,-0.110
Kepler-39,b,1200.00,250.00,79.759575,10.234081,0.155000,0.003000,-0.003000,5720.70000,295.56900,-289.21300,13.675,1.345,-1.121,18.00000,0.93000,-0.91000,1.220,0.120,-0.100
Kepler-40,b,2700.00,200.00,81.044764,11.035147,0.080000,0.003000,-0.003000,699.19700,127.12700,-127.12700,13.115,0.448,-0.448,2.20000,0.40000,-0.40000,1.170,0.040,-0.040
KOI-55,b,1180.00,95.00,75.161149,8.231240,0.006000,,,0.44000,,,0.759,,,0.00140,,,0.068,,
KOI-55,c,1180.00,95.00,75.161149,8.231240,0.007600,,,0.65500,,,0.867,,,0.00210,,,0.077,,
Kepler-46,b,855.00,68.00,74.113785,13.623645,0.196800,0.002900,-0.002800,1906.90000,,,9.057,0.471,-0.482,6.00000,,,0.808,0.042,-0.043
Kepler-46,c,855.00,68.00,74.113785,13.623645,0.279900,0.004100,-0.004000,119.49900,6.67400,-6.03900,,,,0.37600,0.02100,-0.01900,,,
Kepler-42,b,38.70,6.30,76.918760,12.548085,0.011600,,,,,,0.780,0.220,-0.220,,,,0.070,0.020,-0.020
Kepler-42,c,38.70,6.30,76.918760,12.548085,0.006000,,,,,,0.730,0.200,-0.200,,,,0.065,0.018,-0.018
Kepler-42,d,38.70,6.30,76.918760,12.548085,0.015400,,,,,,0.570,0.180,-0.180,,,,0.051,0.016,-0.016
ksi Aql,b,62.66,3.73,47.812817,-9.854721,0.680000,,,889.88651,0.00000,0.00000,,,,2.80000,,,,,
LKCA 15,b,,,176.689700,-15.981634,,,,1906.90000,317.81700,-317.81700,,,,6.00000,1.00000,-1.00000,,,
Lupus-TR-3,b,2000.00,,331.367213,10.951003,0.046400,0.000700,-0.000700,257.43100,57.20700,-57.20700,9.976,0.785,-0.785,0.81000,0.18000,-0.18000,0.890,0.070,-0.070
MOA-2007-BLG-192-L,b,,,4.030846,-3.387593,,,,3.17817,4.76725,-1.58908,,,,0.01000,0.01500,-0.00500,,,
MOA-2007-BLG-400-L,b,,,2.381269,-4.700741,,,,286.03495,127.12664,-127.12664,,,,0.90000,0.40000,-0.40000,,,
MOA-2008-BLG-310-L,b,,,355.914434,-4.562487,,,,73.09782,15.89083,-15.89083,,,,0.23000,0.05000,-0.05000,,,
MOA-2009-BLG-266-L,b,,,355.069932,-3.580897,,,,10.39260,1.58908,-1.58908,,,,0.03270,0.00500,-0.00500,,,
MOA-2009-BLG-319-L,b,,,4.202203,-3.014318,,,,49.89720,43.85870,-23.83620,,,,0.15700,0.13800,-0.07500,,,
MOA-2009-BLG-387-L,b,,,356.556406,-4.096243,,,,826.32300,1303.05000,-508.50700,,,,2.60000,4.10000,-1.60000,,,
MOA-2010-BLG-477L,b,2300.00,600.00,0.045935,-5.094955,2.000000,3.000000,-1.000000,476.72500,254.25300,-95.34500,,,,1.50000,0.80000,-0.30000,,,
NGC 2423 3,b,,,230.520593,3.531344,2.100000,,,3368.85608,0.00000,0.00000,,,,10.60000,,,,,
NGC 4349 No 127,b,,,299.718038,0.831085,2.380000,,,6292.76890,0.00000,0.00000,,,,19.80000,,,,,
NN Ser (ab),c,,,23.652960,45.338912,5.380000,0.200000,-0.200000,2196.11000,171.62100,-171.62100,,,,6.91000,0.54000,-0.54000,,,
NN Ser (ab),d,,,23.652960,45.338912,3.390000,0.100000,-0.100000,724.62200,120.77000,-120.77000,,,,2.28000,0.38000,-0.38000,,,
HIP 88048,b,46.84,1.67,18.167894,6.974494,1.900000,,,7627.60000,,,,,,24.00000,,,,,
HIP 88048,c,46.84,1.67,18.167894,6.974494,6.100000,,,8581.05000,,,,,,27.00000,,,,,
NY Vir,b,,,326.172401,58.687773,3.300000,,,730.97800,95.34500,-95.34500,,,,2.30000,0.30000,-0.30000,,,
OGLE-05-071L,b,,,355.580141,-3.786345,,,,1207.70300,127.12700,-127.12700,,,,3.80000,0.40000,-0.40000,,,
OGLE-05-169L,b,,,0.676832,-4.739985,,,,12.71266,,,,,,0.04000,,,,,
OGLE-05-390L,b,,,359.732499,-2.361536,,,,5.40288,,,,,,0.01700,,,,,
OGLE-06-109L,b,,,359.791319,-1.889969,,,,225.64979,25.42533,-25.42533,,,,0.71000,0.08000,-0.08000,,,
OGLE-06-109L,c,,,359.791319,-1.889969,,,,85.81048,9.53450,-9.53450,,,,0.27000,0.03000,-0.03000,,,
OGLE-2007-BLG-368L,b,,,358.348728,-3.686006,,,,22.05647,,,,,,0.06940,,,,,
OGLE235-MOA53,b,,,1.773047,-2.931153,,,,826.32319,254.25329,-254.25329,,,,2.60000,0.80000,-0.80000,,,
OGLE2-TR-L9,b,,,290.771358,-0.742524,0.030800,0.000500,-0.000500,1430.17500,476.72500,-476.72500,18.046,0.448,-0.448,4.50000,1.50000,-1.50000,1.610,0.040,-0.040
OGLE-TR-10,b,,,359.851525,-1.576495,0.043400,0.001300,-0.001500,197.04600,44.49400,-44.49400,14.011,1.569,-1.345,0.62000,0.14000,-0.14000,1.250,0.140,-0.120
OGLE-TR-111,b,,,289.279347,-1.705527,0.046890,0.001000,-0.000970,174.79900,31.78200,-31.78200,11.781,0.639,-0.583,0.55000,0.10000,-0.10000,1.051,0.057,-0.052
OGLE-TR-113,b,600.00,,289.201702,-1.789452,0.022890,0.000160,-0.000150,400.44900,50.85100,-50.85100,12.251,0.314,-0.213,1.26000,0.16000,-0.16000,1.093,0.028,-0.019
OGLE-TR-132,b,2500.00,250.00,289.234899,-2.342921,0.030350,0.000570,-0.000530,375.02400,44.49400,-41.31600,13.451,1.681,-1.233,1.18000,0.14000,-0.13000,1.200,0.150,-0.110
OGLE-TR-182,b,,,290.906734,-0.630581,0.051000,0.001000,-0.001000,320.99500,47.67200,-47.67200,12.666,2.690,-0.897,1.01000,0.15000,-0.15000,1.130,0.240,-0.080
OGLE-TR-211,b,,,288.399431,-3.345112,0.051000,0.001000,-0.001000,327.35100,63.56300,-63.56300,15.244,2.018,-1.009,1.03000,0.20000,-0.20000,1.360,0.180,-0.090
OGLE-TR-56,b,,,0.705194,-2.365322,0.019420,0.000150,-0.000150,441.76500,57.20700,-57.20700,15.446,1.009,-1.009,1.39000,0.18000,-0.18000,1.378,0.090,-0.090
omi CrB,b,84.03,4.92,46.209778,57.333271,0.830000,,,476.72500,,,,,,1.50000,,,,,
omi Uma,b,56.31,1.99,155.976435,35.426921,3.900000,,,1303.05000,,,,,,4.10000,,,,,
Oph 11,b,,,352.678580,17.803217,,,,6674.15000,953.45000,-953.45000,,,,21.00000,3.00000,-3.00000,,,
Pr0201,b,,,205.421771,32.970358,,,,171.62100,12.39500,-12.39500,,,,0.54000,0.03900,-0.03900,,,
Pr0211,b,,,206.527700,32.744661,,,,586.05400,20.34000,-20.34000,,,,1.84400,0.06400,-0.06400,,,
PSR 1257+12,b,,,311.309690,75.413648,0.190000,,,0.02225,,,,,,0.00007,,,,,
PSR 1257+12,c,,,311.309690,75.413648,0.360000,,,4.13162,,,,,,0.01300,,,,,
PSR 1257+12,d,,,311.309690,75.413648,0.460000,,,3.81380,0.19069,-0.19069,,,,0.01200,0.00060,-0.00060,,,
PSR B1620-26,b,,,350.976229,15.960031,23.000000,,,794.54153,317.81661,-317.81661,,,,2.50000,1.00000,-1.00000,,,
Qatar-1,b,,,98.718848,16.424325,0.023430,0.000260,-0.000250,346.42000,26.69700,-25.74300,13.047,0.504,-0.504,1.09000,0.08400,-0.08100,1.164,0.045,-0.045
Qatar-2,b,,,327.956857,53.167697,0.021490,0.000360,-0.000360,790.41000,27.33200,-27.33200,12.823,0.392,-0.392,2.48700,0.08600,-0.08600,1.144,0.035,-0.035
rho CrB,b,17.43,0.21,53.488729,48.923598,0.220000,,,330.52928,0.00000,0.00000,,,,1.04000,,,,,
HIP 63510,c,11.43,0.19,311.825376,75.085959,1168.000000,,,1997.59000,,,13.675,,,6.28536,,,1.220,,
SR 12 AB,c,,,352.979938,16.564993,,,,4131.62000,2224.72000,-2224.72000,,,,13.00000,7.00000,-7.00000,,,
SWEEPS-04,b,8500.00,,1.260039,-2.626045,0.055000,,,1207.70000,,,9.079,1.121,-1.121,3.80000,,,0.810,0.100,-0.100
SWEEPS-11,b,8500.00,,1.266725,-2.656085,0.030000,,,3082.82000,1779.77000,-1430.17000,12.666,2.354,-2.354,9.70000,5.60000,-4.50000,1.130,0.210,-0.210
tau Boo,b,15.60,0.17,358.936643,73.888976,0.046000,,,1239.48478,0.00000,0.00000,,,,3.90000,,,,,
HIP 34693,b,92.51,7.62,187.218682,17.199068,,,,5752.48000,,,,,,18.10000,,,,,
TrES-1,b,152.30,6.70,67.464444,13.440850,0.039250,0.000560,-0.000600,238.99800,14.93700,-14.62000,11.960,0.247,-0.235,0.75200,0.04700,-0.04600,1.067,0.022,-0.021
TrES-2,b,213.00,11.00,79.848583,17.808015,0.035560,0.000750,-0.000750,381.10000,16.52700,-16.52700,14.258,0.460,-0.460,1.19900,0.05200,-0.05200,1.272,0.041,-0.041
TrES-3,b,228.00,12.00,63.340111,27.289699,0.022820,0.000230,-0.000400,607.03000,23.83600,-25.42500,14.975,0.347,-0.415,1.91000,0.07500,-0.08000,1.336,0.031,-0.037
TrES-4,b,492.00,39.00,63.038806,26.993548,0.050910,0.000710,-0.000710,292.07300,23.20100,-23.20100,20.165,0.706,-0.706,0.91900,0.07300,-0.07300,1.799,0.063,-0.063
TrES-5,b,360.00,11.00,94.119004,12.742307,0.024460,0.000680,-0.000680,565.07800,20.02200,-20.02200,13.552,0.235,-0.235,1.77800,0.06300,-0.06300,1.209,0.021,-0.021
ups And,b,13.47,0.13,132.000907,-20.666090,0.059222,0.000000,-0.000000,218.53100,1.39839,-1.39839,,,,0.68760,0.00440,-0.00440,,,
ups And,c,13.47,0.13,132.000907,-20.666090,0.827774,0.000015,-0.000015,629.59500,6.03852,-6.03852,,,,1.98100,0.01900,-0.01900,,,
